State,Division,Candidate,Party,Votes,Percent
VIC,Corio,"DEDMAN, John",ALP,28056,52.6
VIC,Corio,"LYALL, Henry",IND,4033,7.6
VIC,Corio,"PATTERSON, Gerald",UAP,21271,39.9
VIC,Deakin,"FISHER, Frank",IND,3983,7.4
VIC,Deakin,"HUTCHINSON, William",UAP,29318,54.8
VIC,Deakin,"MCCALLUM, Dunean",IND,2969,5.5
VIC,Deakin,"WILLIAMSON, Francis",ALP,17267,32.3
VIC,Fawkner,"FRASER, Arthur",ALP,22558,35.8
VIC,Fawkner,"HOLT, Harold",UAP,38387,60.8
VIC,Fawkner,"MILLS, Alexander",IND,2152,3.4
VIC,Flinders,"AMESS, Alexander",IND,3245,5.8
VIC,Flinders,"LEE, Thomas",ALP,15465,27.7
VIC,Flinders,"MANN, Edward",IND,14920,26.7
VIC,Flinders,"RYAN, Rupert",UAP,22154,39.7
VIC,Gippsland,"BOWDEN, George",CP,8006,16.7
VIC,Gippsland,"MCKENNA, James",ALP,16082,33.5
VIC,Gippsland,"PATERSON, Hon Thomas",CP,20547,42.8
VIC,Gippsland,"WYETH, Calvert",IND,3402,7.1
VIC,Henty,"COLES, Arthur",IND,35542,54.6
VIC,Henty,"HAYWOOD, Arthur",ALP,23319,35.8
VIC,Henty,"RILEY, Edward",IND,567,0.9
VIC,Henty,"THOMAS, Samuel",IND,704,1.1
VIC,Henty,"YOUNG, Eric",IND,4927,7.6
VIC,Indi,"DEVLIN, John",ALP,19216,38.5
VIC,Indi,"MCEWEN, Hon John",CP,30676,61.5
VIC,Kooyong,"BETT, Harry",IND,2598,3.7
VIC,Kooyong,"BRENNAN, Thomas",ALP,14467,20.6
VIC,Kooyong,"DALE, John",IND,7382,10.5
VIC,Kooyong,"FOSTER, Francis",IND,377,0.5
VIC,Kooyong,"HARNETT, Francis",IND,1168,1.7
VIC,Kooyong,"MENZIES, Rt Hon Robert",UAP,44161,62.9
VIC,Maribyrnong,"DRAKEFORD, Arthur",ALP,40990,64.6
VIC,Maribyrnong,"VROLAND, Robert",UAP,22455,35.4
VIC,Melbourne,"BAKER, James",IND,7893,14.3
VIC,Melbourne,"CALWELL, Arthur",ALP,28590,51.9
VIC,Melbourne,"GRIFFITHS, Richard",UAP,13140,23.9
VIC,Melbourne,"WHITCOMBE, Edward",IND,5450,9.9
VIC,Melbourne Ports,"HOLLOWAY, Hon Jack",ALP,38853,66.1
VIC,Melbourne Ports,"TRICKEY, Raymond",UAP,19907,33.9
VIC,Wannon,"CRAWFORD, John",IND,2490,4.9
VIC,Wannon,"MCLEOD, Donald",ALP,24533,48.6
VIC,Wannon,"POTTS, Jabez",IND,2164,4.3
VIC,Wannon,"SCHOLFIELD, Thomas",UAP,21271,42.2
VIC,Wimmera,"JOHNSTONE, Robert",IND,1523,3.4
VIC,Wimmera,"MCCLELLAND, Hugh",CP,12561,27.8
VIC,Wimmera,"NOLAN, Michael",ALP,11222,24.8
VIC,Wimmera,"WILSON, Alex",IND,19915,44.0
VIC,Yarra,"EDMUNDS, Frederick",UAP,19132,33.5
VIC,Yarra,"GIBSON, Ralph",IND,5175,9.1
VIC,Yarra,"SCULLIN, Rt Hon James",ALP,32790,57.4
QLD,Brisbane,"FLETCHER, John",UAP,27055,49.6
QLD,Brisbane,"LAWSON, George",ALP,27474,50.4
QLD,Capricornia,"FORDE, Hon Frank",ALP,33211,58.7
QLD,Capricornia,"HISKENS, Edwin",CP,23330,41.3
QLD,Darling Downs,"BAILEY, Leslie",ALP,21316,42.1
QLD,Darling Downs,"FADDEN, Hon Arthur",CP,29365,57.9
QLD,Griffith,"CONELAN, William",ALP,30529,50.5
QLD,Griffith,"MCCOWAN, Peter",UAP,29879,49.5
QLD,Herbert,"HAYDON, Louis",IND,3346,5.5
QLD,Herbert,"MANN, Thomas",CP,21545,35.5
QLD,Herbert,"MARTENS, George",ALP,24712,40.7
